"concentration","value","compound"
NA,0.097,NA
2,0.132,"DSM Gent"
2,0.139,"DSM Gent"
2,0.144,"DSM Gent"
NA,0.097,NA
1.69897000433602,0.139,"DSM Gent"
1.69897000433602,0.144,"DSM Gent"
1.69897000433602,0.154,"DSM Gent"
NA,0.096,NA
1.39794000867204,0.142,"DSM Gent"
1.39794000867204,0.147,"DSM Gent"
1.39794000867204,0.153,"DSM Gent"
NA,0.096,NA
1.09691001300806,0.267,"DSM Gent"
1.09691001300806,0.184,"DSM Gent"
1.09691001300806,0.254,"DSM Gent"
NA,0.099,NA
0.795880017344075,0.352,"DSM Gent"
0.795880017344075,0.367,"DSM Gent"
0.795880017344075,0.381,"DSM Gent"
NA,0.095,NA
0.494850021680094,0.458,"DSM Gent"
0.494850021680094,0.454,"DSM Gent"
0.494850021680094,0.471,"DSM Gent"
NA,0.096,NA
0.193820026016113,0.53,"DSM Gent"
0.193820026016113,0.525,"DSM Gent"
0.193820026016113,0.583,"DSM Gent"
NA,0.097,NA
-0.107209969647868,0.556,"DSM Gent"
-0.107209969647868,0.558,"DSM Gent"
-0.107209969647868,0.589,"DSM Gent"
NA,0.096,NA
-0.40823996531185,0.551,"DSM Gent"
-0.40823996531185,0.556,"DSM Gent"
-0.40823996531185,0.561,"DSM Gent"
NA,0.156,NA
-0.709269960975831,0.566,"DSM Gent"
-0.709269960975831,0.562,"DSM Gent"
-0.709269960975831,0.601,"DSM Gent"
NA,0.096,NA
-1.01029995663981,0.563,"DSM Gent"
-1.01029995663981,0.555,"DSM Gent"
-1.01029995663981,0.583,"DSM Gent"
NA,0.102,NA
-1.31132995230379,0.579,"DSM Gent"
-1.31132995230379,0.554,"DSM Gent"
-1.31132995230379,0.57,"DSM Gent"
